id;name;queue;assignment_basis;source_list_name
10002472;Проезд вдоль Дмитровского шоссе от Лобненской улицы до Яхромской улицы;2;остаток после 1-й и 3-й очередей;
10002473;Проезд вдоль 4-й детской больницы;2;остаток после 1-й и 3-й очередей;
10002474;Проезд вдоль улицы Космонавта Волкова;2;остаток после 1-й и 3-й очередей;
10002475;Проезд вдоль Ленинградского шоссе между Колпинской улицей и Ленинградским шоссе;1;ручная адресная сверка;Проезд вдоль Ленинградского ш. (Колпинская)
10002476;Проезд от ул. Поликарпова д. 25 до ул. Поликарпова;2;остаток после 1-й и 3-й очередей;
10002477;Подъезд к дому №9 по Фестивальной улице;2;остаток после 1-й и 3-й очередей;
10002478;Проезд к дому №5 по Флотской улице ( подъезд к МФС №6 );2;остаток после 1-й и 3-й очередей;
10002480;Проезд от Астрадамской ул. до ул. Вучетича;1;точное наименование;Проезд от Астрадамской до Вучетича
10002481;Проезд от Б.Академической ул.к зданию ВОХР (Б.Академическая ул. 22к.7);2;остаток после 1-й и 3-й очередей;
10002482;Проезд от Беговой улицы до б/з ( весь пр.пр. 1808);2;остаток после 1-й и 3-й очередей;
10002483;Проезд от Беломорской ул. к пожарной части № 31;2;остаток после 1-й и 3-й очередей;
10002484;Проезд от Беломорской ул.18, к.1 до Беломорской ул.;2;остаток после 1-й и 3-й очередей;
10002486;Дегунинский проезд (Бескудниковский район);2;остаток после 1-й и 3-й очередей;
10002489;Проезд от Валдайского проезда до Левобережной улицы;2;остаток после 1-й и 3-й очередей;
10002490;Проезд от 1-го Войковского проезда до 5-го Войковского проезда;2;остаток после 1-й и 3-й очередей;
10002491;Проезд от ул.Космонавта Волкова между д.17-19 до ул.Клары Цеткин;2;остаток после 1-й и 3-й очередей;
10002492;Николая Рериха улица;3;точное наименование;Николая Рериха ул.
10002494;переулок 800-летия Москвы;1;ручная адресная сверка;переулок 800-летия Москвы
10002496;Пр-д от Дубнинской ул. до торгового центра вдоль д.17 корп.1 до Бескудниковского б-ра д.8 корп.4;2;остаток после 1-й и 3-й очередей;
10002497;Проезд от улицы Зорге до улицы Берзарина;2;остаток после 1-й и 3-й очередей;
10002499;Проезд от Дмитровского шоссе к Ивановской улице у прачечной «Чайка»;2;остаток после 1-й и 3-й очередей;
10002503;Проезд от улицы Зои и Александра Космодемьянских, д.6;2;остаток после 1-й и 3-й очередей;
10002504;Проезд от Дмитровского шоссе до улицы Костякова у кинотеатра Искра;2;остаток после 1-й и 3-й очередей;
10002506;Проезд от Красностуденческого проезда до улицы Немчинова;2;остаток после 1-й и 3-й очередей;
10002507;Проезд от Левобережной улицы до улицы Дыбенко;1;сверка сокращённого наименования;Проезд от Левобережной до Дыбенко
10002509;Проезды от Ленинградской улицы до 1-й Сестрорецкой улицы;1;ручная адресная сверка;Проезды Ленинградская—1-я Сестрорецкая
10002511;Проезд от Ленинрадского ш. до Ленинградского ш. 96, к.5;2;остаток после 1-й и 3-й очередей;
10002512;Проезд от Ленинградского шоссе к дому отдыха «Чайка»;2;остаток после 1-й и 3-й очередей;
10002515;Проезд от Ленинградского шоссе, д.47 к спортгородку;2;остаток после 1-й и 3-й очередей;
10002516;Проезд от Ленинградского шоссе, д.д. 41-43 до спасательной станции;2;остаток после 1-й и 3-й очередей;
10002517;Проезд от Ленинградского шоссе д.д. № 46,48 до улицы Адмирала Макарова д. № 31;2;остаток после 1-й и 3-й очередей;
10002518;Проезд от Ленинградского шоссе до реки Клязьмы;1;сверка сокращённого наименования;Проезд от Ленингр. ш. до реки Клязьмы
10002519;Проезд от Ленинградского шоссе до Иваньковского шоссе (Никольский тупик);2;остаток после 1-й и 3-й очередей;
10002520;Проезд от Ленинградского шоссе до 2-го Новоподмосковного переулка;2;остаток после 1-й и 3-й очередей;
10002522;Проезд от Ленинградского шоссе до станции «Планерная»;2;остаток после 1-й и 3-й очередей;
10002523;Проезд от Ленинградского шоссе к промзоне Новоподрезково;1;сверка сокращённого наименования;Проезд к промзоне Новоподрезково
10002525;Проезд от 3-й Магистральной улицы до предприятий;2;остаток после 1-й и 3-й очередей;
10002526;Проезд от улицы Адмирала Макарова до ЛТП;3;сверка сокращённого наименования;Проезд от Адмирала Макарова до ЛТП
10002527;Проезд от Михалковской ул. до 3-го Новомихалковского пр-да;1;ручная адресная сверка;Проезд Михалковская—3-й Новомихалк.
10002529;Проезд от 1-го до 2-го Новоподмосковного переулка;2;остаток после 1-й и 3-й очередей;
10002530;Проезд от Нарвской улицы до метро «Водный стадион»;3;ручная адресная сверка;Проезд от Нарвской до Водного стадиона
10002531;Проезд от Нарвской улицы к СИЗО;2;остаток после 1-й и 3-й очередей;
10002533;Проезд от Петровско-Разумовской аллеи до ул.Н.Башиловка;2;остаток после 1-й и 3-й очередей;
10002534;Проезд от Петрозаводской ул. до Зеленоградской ул.;1;ручная адресная сверка;Проезд Петрозаводская—Зеленоградская
10002535;Проезд от Скаковой аллеи до Беговой аллеи;2;остаток после 1-й и 3-й очередей;
10002536;Проезд от Скаковой аллеи до отделения полиции № 63;2;остаток после 1-й и 3-й очередей;
10002537;Проезд от Дмитровского шоссе до Тимирязевской улицы;2;остаток после 1-й и 3-й очередей;
10002538;Проезд от улицы Авиаконструктора Яковлева до улицы Усиевича;2;остаток после 1-й и 3-й очередей;
10002541;Проезд от Хорошевского ш. до 3-го Хорошевского проезда;2;остаток после 1-й и 3-й очередей;
10002543;Проезд от сх техники к Приозерной улице;2;остаток после 1-й и 3-й очередей;
10002545;Проезд от ул. Ивана Сусанина 4к.1 до Дегунинской ул. (пр.пр. 6195);2;остаток после 1-й и 3-й очередей;
10002547;Правобережная ул.;2;остаток после 1-й и 3-й очередей;
10002548;Прибрежный проезд;2;остаток после 1-й и 3-й очередей;
10002549;Приозёрная ул.;2;остаток после 1-й и 3-й очередей;
10002551;Ул. Генерала Ивашутина;2;остаток после 1-й и 3-й очередей;
10002552;Проезд от Дубнинской улицы до ОАО «НИИ стали»;2;остаток после 1-й и 3-й очередей;
10002553;Проезд у РВК (Алабяна ул., д.5);2;остаток после 1-й и 3-й очередей;
10002555;2-й Ходынский проезд;2;остаток после 1-й и 3-й очередей;
10002557;улица Прянишникова;2;остаток после 1-й и 3-й очередей;
10002558;Пулковская улица;2;остаток после 1-й и 3-й очередей;
10002559;Путейская улица;2;остаток после 1-й и 3-й очередей;
10002561;1-я Радиаторская улица;2;остаток после 1-й и 3-й очередей;
10002562;2-я Радиаторская улица;2;остаток после 1-й и 3-й очередей;
10002563;3-я Радиаторская улица;2;остаток после 1-й и 3-й очередей;
10002564;Разворотный круг по Петрозаводской улице;2;остаток после 1-й и 3-й очередей;
10002566;Развязка МКАД - 77 км;1;сверка сокращённого наименования;Развязка МКАД-77км
10002569;Расковой переулок;2;остаток после 1-й и 3-й очередей;
10002570;Рогачёвский переулок;2;остаток после 1-й и 3-й очередей;
10002571;улица Розанова;1;точное наименование;ул. Розанова
10002572;Улица Генерала Рычагова;1;точное наименование;Улица Ген. Рычагова
10002573;улица Саврасова;2;остаток после 1-й и 3-й очередей;
10002574;Светлый проезд;2;остаток после 1-й и 3-й очередей;
10002575;Селигерская улица;2;остаток после 1-й и 3-й очередей;
10002576;Сенежская улица;2;остаток после 1-й и 3-й очередей;
10002578;улица Серова;2;остаток после 1-й и 3-й очередей;
10002579;1-я Сестрорецкая улица;2;остаток после 1-й и 3-й очередей;
10002580;2-я Сестрорецкая улица;2;остаток после 1-й и 3-й очередей;
10002581;3-я Сестрорецкая улица;2;остаток после 1-й и 3-й очередей;
10002583;улица Константина Симонова;2;остаток после 1-й и 3-й очередей;
10002584;Синявинская улица;1;точное наименование;Синявинская ул.
10002585;Скаковая аллея;2;остаток после 1-й и 3-й очередей;
10002586;Скаковая улица;2;остаток после 1-й и 3-й очередей;
10002588;Соболевский проезд;2;остаток после 1-й и 3-й очередей;
10002589;Солнечногорская улица;1;точное наименование;Солнечногорская ул.
10002590;Солнечногорский проезд;1;точное наименование;Солнечногорский пр.
10002591;проезд Соломенной Сторожки;1;точное наименование;пр. Соломенной Сторожки
10002593;Старофилинская улица;2;остаток после 1-й и 3-й очередей;
10002594;Старокоптевский переулок;2;остаток после 1-й и 3-й очередей;
10002595;Автостоянка по адресу Талдомская ул., д.6;2;остаток после 1-й и 3-й очередей;
10002598;улица Степана Супруна;2;остаток после 1-й и 3-й очередей;
10002599;улица Сурикова;2;остаток после 1-й и 3-й очередей;
10002606;Тимирязевский проезд;2;остаток после 1-й и 3-й очередей;
10002607;Тротуар вдоль Головинских прудов;3;точное наименование;Тротуар вдоль Головинских прудов
10002608;Трудовая аллея;2;остаток после 1-й и 3-й очередей;
10002609;улица Усиевича;2;остаток после 1-й и 3-й очередей;
10002610;Учинская улица;2;остаток после 1-й и 3-й очередей;
10002611;Факультетский переулок;2;остаток после 1-й и 3-й очередей;
10002613;Улица Маршала Федоренко;3;точное наименование;Улица Маршала Федоренко
10002620;3-й Хорошевский проезд;3;точное наименование;3-й Хорошевский пр.
10002621;Хорошевский тупик;2;остаток после 1-й и 3-й очередей;
10002623;1-я Хуторская улица;2;остаток после 1-й и 3-й очередей;
10002625;Хуторской 1-й переулок;2;остаток после 1-й и 3-й очередей;
10002626;Хуторской 2-й переулок;2;остаток после 1-й и 3-й очередей;
10002627;Хуторской 3-й переулок;2;остаток после 1-й и 3-й очередей;
10002628;Хуторской 4-й переулок;2;остаток после 1-й и 3-й очередей;
10002630;2-й Цветковский проезд;2;остаток после 1-й и 3-й очередей;
10002631;улица Клары Цеткин;3;точное наименование;ул. Клары Цеткин
10002632;Улица Лизы Чайкиной;2;остаток после 1-й и 3-й очередей;
10002634;Часовая улица;3;точное наименование;Часовая ул.
10002635;проезд Черепановых;3;точное наименование;проезд Черепановых
10002636;улица Черняховского;2;остаток после 1-й и 3-й очередей;
10002637;Чуксин тупик;2;остаток после 1-й и 3-й очередей;
10002638;Шебашевский переулок;2;остаток после 1-й и 3-й очередей;
10002639;Шебашевский проезд;2;остаток после 1-й и 3-й очередей;
10002640;Улица Шишкина;2;остаток после 1-й и 3-й очередей;
10002641;Эльдорадовский переулок;2;остаток после 1-й и 3-й очередей;
10002642;улица Юннатов;2;остаток после 1-й и 3-й очередей;
10002643;улица Авиаконструктора Яковлева;2;остаток после 1-й и 3-й очередей;
10002647;Яхромская улица;2;остаток после 1-й и 3-й очередей;
10002648;Дубнинский проезд;2;остаток после 1-й и 3-й очередей;
10002649;местный проезд к Ледовому дворцу;3;точное наименование;местный проезд к Ледовому дворцу
10002652;Проектируемый проезд № 6340 между ул. Авиаконструктора Сухого и Ходынским бульваром;2;остаток после 1-й и 3-й очередей;
10002654;Проектируемый проезд № 3570;2;остаток после 1-й и 3-й очередей;
